Mach,p,Points:0
0.15612,0.98872,0
0.15618,0.98871,0.12
0.15625,0.9887,0.24
0.15631,0.9887,0.36
0.15637,0.98869,0.48
0.15644,0.98869,0.6
0.1565,0.98868,0.72
0.15656,0.98868,0.84
0.15663,0.98867,0.96
0.15669,0.98867,1.08
0.15675,0.98866,1.2
0.15682,0.98866,1.32
0.15688,0.98865,1.44
0.15694,0.98865,1.56
0.15701,0.98864,1.68
0.15707,0.98864,1.8
0.15713,0.98863,1.92
0.1572,0.98863,2.04
0.15726,0.98862,2.16
0.15732,0.98862,2.28
0.15739,0.98861,2.4
0.15745,0.98861,2.52
0.15751,0.9886,2.64
0.15758,0.9886,2.76
0.15764,0.98859,2.88
0.1577,0.98858,3
0.15777,0.98858,3.12
0.15783,0.98857,3.24
0.15789,0.98857,3.36
0.15796,0.98856,3.48
0.15802,0.98856,3.6
0.15808,0.98855,3.72
0.15815,0.98855,3.84
0.15821,0.98854,3.96
0.15827,0.98854,4.08
0.15833,0.98853,4.2
0.1584,0.98853,4.32
0.15846,0.98852,4.44
0.15852,0.98852,4.56
0.15859,0.98851,4.68
0.15865,0.98851,4.8
0.15871,0.9885,4.92
0.15879,0.98849,5.04
0.1589,0.98848,5.16
0.15901,0.98846,5.28
0.15912,0.98845,5.4
0.15923,0.98843,5.52
0.15934,0.98842,5.64
0.15945,0.98841,5.76
0.15956,0.98839,5.88
0.15967,0.98838,6
0.15978,0.98836,6.12
0.15989,0.98835,6.24
0.16,0.98833,6.36
0.16011,0.98832,6.48
0.16022,0.9883,6.6
0.16033,0.98829,6.72
0.16044,0.98828,6.84
0.16055,0.98826,6.96
0.16066,0.98825,7.08
0.16077,0.98823,7.2
0.16088,0.98822,7.32
0.16099,0.9882,7.44
0.1611,0.98819,7.56
0.1612,0.98817,7.68
0.16131,0.98816,7.8
0.16142,0.98814,7.92
0.16153,0.98813,8.04
0.16164,0.98812,8.16
0.16175,0.9881,8.28
0.16186,0.98809,8.4
0.16197,0.98807,8.52
0.16208,0.98806,8.64
0.16219,0.98804,8.76
0.1623,0.98803,8.88
0.16241,0.98801,9
0.16252,0.988,9.12
0.16263,0.98798,9.24
0.16274,0.98797,9.36
0.16285,0.98796,9.48
0.16296,0.98794,9.6
0.16307,0.98793,9.72
0.16318,0.98791,9.84
0.16329,0.9879,9.96
0.16344,0.98788,10.08
0.16361,0.98785,10.2
0.16377,0.98782,10.32
0.16394,0.9878,10.44
0.16411,0.98777,10.56
0.16428,0.98774,10.68
0.16445,0.98772,10.8
0.16462,0.98769,10.92
0.16478,0.98767,11.04
0.16495,0.98764,11.16
0.16512,0.98761,11.28
0.16529,0.98759,11.4
0.16546,0.98756,11.52
0.16563,0.98754,11.64
0.1658,0.98751,11.76
0.16596,0.98748,11.88
0.16613,0.98746,12
0.1663,0.98743,12.12
0.16647,0.9874,12.24
0.16664,0.98738,12.36
0.16681,0.98735,12.48
0.16697,0.98733,12.6
0.16714,0.9873,12.72
0.16731,0.98727,12.84
0.16748,0.98725,12.96
0.16765,0.98722,13.08
0.16782,0.9872,13.2
0.16799,0.98717,13.32
0.16815,0.98714,13.44
0.16832,0.98712,13.56
0.16849,0.98709,13.68
0.16866,0.98706,13.8
0.16883,0.98704,13.92
0.169,0.98701,14.04
0.16917,0.98699,14.16
0.16933,0.98696,14.28
0.1695,0.98693,14.4
0.16967,0.98691,14.52
0.16984,0.98688,14.64
0.17001,0.98686,14.76
0.17018,0.98683,14.88
0.17034,0.9868,15
0.17058,0.98677,15.12
0.17081,0.98673,15.24
0.17104,0.98669,15.36
0.17127,0.98666,15.48
0.1715,0.98662,15.6
0.17173,0.98658,15.72
0.17196,0.98655,15.84
0.17219,0.98651,15.96
0.17242,0.98647,16.08
0.17265,0.98644,16.2
0.17288,0.9864,16.32
0.17311,0.98636,16.44
0.17334,0.98633,16.56
0.17357,0.98629,16.68
0.1738,0.98625,16.8
0.17403,0.98622,16.92
0.17427,0.98618,17.04
0.1745,0.98614,17.16
0.17473,0.98611,17.28
0.17496,0.98607,17.4
0.17519,0.98603,17.52
0.17542,0.986,17.64
0.17565,0.98596,17.76
0.17588,0.98592,17.88
0.17611,0.98589,18
